FID_,band1_ndvi,band2_gndvi,band3_evi,band4_savi,tons_area
308,0.833559334,0.737567186,0.59882766,0.564219832,6.59
309,0.864098012,0.760632932,0.70575875,0.642731845,18.33
310,0.815012753,0.733125925,0.602031469,0.559529841,8.24
311,0.804002047,0.725706041,0.573508203,0.535757482,5.17
312,0.764190972,0.706470072,0.529298544,0.512293816,0
313,0.83704108,0.748360276,0.615694582,0.573656261,7.7
314,0.828776062,0.755379379,0.597188175,0.556590855,6.45
315,0.844340861,0.736227989,0.663740575,0.610280931,0
316,0.803128421,0.712050259,0.587120295,0.548532248,5.19
317,0.85159111,0.750252187,0.683065116,0.622498512,11.52
318,0.857710779,0.777688146,0.659497261,0.600854516,6.21
319,0.848542094,0.767764091,0.595869839,0.56133908,5.9
320,0.659919441,0.634859264,0.408854961,0.400115073,0
321,0.8312397,0.74060595,0.60699302,0.573152244,5.52
322,0.861674428,0.757473469,0.670988202,0.61810559,10.16
323,0.958989441,1.080361485,0.628632367,0.71533978,6.41
324,0.866857588,0.767024577,0.710418642,0.642779112,19.79
325,0.792436481,0.723438561,0.582779884,0.545816243,7.46
326,0.847150505,0.746245563,0.67513001,0.619362116,8.57
327,0.841899216,0.874383986,0.649369299,0.602496088,8.1
328,0.841032624,0.763485074,0.599776268,0.548700154,0
329,0.826045036,0.723843992,0.594606757,0.558719158,5.63
330,0.852086425,0.748035133,0.683058619,0.625327885,12.45
331,0.862991631,0.760250568,0.702121854,0.639763415,12.87
332,0.873485863,0.77422291,0.735494733,0.663310826,13.01
333,0.866981924,0.771365523,0.720878482,0.653717637,16.24
334,0.86465627,0.769331157,0.709420562,0.642580807,13.39
335,0.875312626,0.779318631,0.712304771,0.64701122,15.34
336,0.779445052,0.689473152,0.554192722,0.529944599,8.44
337,0.832535028,0.751516581,0.62681818,0.584906042,11.19
338,0.818442583,0.722577333,0.621193469,0.582513094,7.59
339,0.822995603,0.723143578,0.609329939,0.57061398,9.81
340,0.841895819,0.766966701,0.635825932,0.590805173,8.35
341,0.819322765,0.73313725,0.614228845,0.566441119,13.31
342,0.807497561,0.74349618,0.529242218,0.511243701,6.04
343,0.831641674,0.742120087,0.6429528,0.582626045,10.25
344,0.806692719,0.712951362,0.63449508,0.573303759,13.74
345,0.880188406,0.781486392,0.742031097,0.662066936,16.57
346,0.840259731,0.76808989,0.569145799,0.540419519,7.6
347,0.866516232,0.771327257,0.70279479,0.635534585,11.99
348,0.820572197,0.730988443,0.640158653,0.583310366,0
349,0.856052577,0.758771837,0.665833354,0.614314556,9.71
350,0.817268908,0.742988586,0.563032687,0.536134541,12.26
351,0.872390628,0.774808347,0.712541461,0.645918667,15.52
352,0.817907929,0.746151149,0.544022441,0.525944948,7.32
353,0.857339799,0.757964432,0.656489968,0.607382596,10.57
354,0.819202125,0.722744644,0.607011974,0.567455828,7.18
355,0.846976519,0.741119802,0.626653552,0.588917255,5.71
356,0.811660349,0.748669147,0.56965971,0.538312674,11.54
357,0.834294617,0.750719726,0.593716204,0.56169498,0
358,0.844169021,0.743860841,0.609781206,0.567951441,7.1
359,0.800067008,0.7383641,0.530345738,0.509152651,9.88
360,0.81235534,0.712978601,0.616252661,0.570804358,7.19
361,0.725657642,0.70484376,0.496147424,0.483491391,0
362,0.773826599,0.689854741,0.535895228,0.517078578,9.78
363,0.837448418,0.727265477,0.637235463,0.58956641,11.79
364,0.851603508,0.753821254,0.690545857,0.621162951,11
365,0.816085339,0.736663759,0.592693925,0.555981457,0
366,0.7827214,0.72128886,0.594416022,0.554582357,9.82
367,0.854325831,0.753277361,0.704349101,0.637818873,10.83
368,0.826027334,0.722631454,0.592854023,0.55691874,0
369,0.864084482,0.793142378,0.659441531,0.609815359,12.14
370,0.857976615,0.753196478,0.680232525,0.622100651,0
371,0.766367555,0.695906043,0.540229857,0.510581851,0
372,0.854833603,0.770412326,0.633968472,0.590991676,0
373,0.842664659,0.743273437,0.63839972,0.592725158,9.04
374,0.83724755,0.738305688,0.616603196,0.576436162,7.55
375,0.775473952,0.703605115,0.489732116,0.479253113,0
376,0.785002589,0.698239803,0.550764561,0.52984947,0
377,0.783393919,0.69416523,0.563292086,0.525605321,0
378,0.835254669,0.99075675,0.597827613,0.568794668,12.08
379,0.804701269,0.731797218,0.586808324,0.538344741,0
380,0.86792773,0.762885749,0.692097127,0.630425811,0
381,0.826004922,0.729614079,0.621743977,0.581797957,0
382,0.814391375,0.725664973,0.588580847,0.554867387,0
383,0.879652321,0.778519452,0.7381531,0.660205066,8.13
384,0.833400965,0.735473156,0.611881137,0.577239633,0
385,0.829701602,0.728277504,0.631603956,0.581384122,0
386,0.831965744,0.736515045,0.620424509,0.580426872,8.38
387,0.773465931,0.685655951,0.519866109,0.504995048,0
388,0.827235639,0.731732249,0.637433827,0.587279081,8.61
389,0.716986895,0.672073424,0.486144394,0.477017581,6.41
390,0.827257633,0.728953063,0.653403521,0.610445321,8.9
391,0.818003118,0.718806565,0.59295243,0.555107176,12.34
392,0.827691376,0.75852257,0.613943934,0.57544601,6.59
393,0.835189521,0.741159737,0.636906266,0.591757655,8.01
394,0.809747517,0.730962694,0.585392177,0.550588131,9.87
395,0.838596404,0.739602268,0.638922989,0.588812411,6.9
396,0.840509236,0.749025226,0.653029025,0.59260726,15.15
397,0.812370181,0.72129482,0.585217476,0.550220191,0
398,0.792461812,0.699714065,0.567745805,0.534644902,0
399,0.838647246,0.725574911,0.623962462,0.580845177,9.4
400,0.843842924,0.733066797,0.67344898,0.616101384,17.39
401,0.789092779,0.715195298,0.571956456,0.535479009,0
402,0.823511302,0.726544976,0.590894341,0.560983002,10.83
403,0.857487082,0.758679926,0.659499466,0.608428061,0
404,0.793079495,0.721488237,0.550159454,0.524418533,11.54
405,0.840176702,0.745767474,0.654322267,0.60586834,0
406,0.785953999,0.695876718,0.612390637,0.542427897,11.86
407,0.803807974,0.714224458,0.593700767,0.559634328,0
408,0.82493186,0.726152003,0.607320786,0.567837358,13.1
409,0.824657857,0.734799266,0.606939614,0.551219642,0
410,0.804130554,0.718027174,0.55799979,0.529492974,0
411,0.846489727,0.739721835,0.618947625,0.576424718,14.87
412,0.850203335,0.767142355,0.645992041,0.596237898,11.49
413,0.842252314,0.758903205,0.65347749,0.602230132,8.58
414,0.848555684,0.740207434,0.646578968,0.59858644,0
415,0.868198395,0.765897512,0.687672317,0.631167948,14.49
416,0.823202431,0.729556024,0.619529545,0.571460307,14.21
417,0.862649739,0.760806084,0.711198628,0.643560886,10.24
418,0.824043751,0.734593093,0.587483644,0.552457809,7.49
419,0.808132768,0.717430592,0.594572783,0.555026352,12.5
420,0.842000902,0.747234464,0.638123572,0.591261804,10.48
421,0.846368015,0.753843725,0.657263994,0.604445457,11.18
422,0.822867095,0.724875391,0.611369431,0.569981515,10.09
423,0.808912277,0.72564733,0.580209434,0.55495733,0
424,0.859312356,0.765076578,0.671446323,0.617251158,0
425,0.790314734,0.709100068,0.559245884,0.525119245,0
426,0.865422904,0.773532391,0.641271532,0.597008824,6.85
427,0.751056075,0.662539423,0.497054428,0.485924512,0
428,0.835764885,0.747349322,0.639991641,0.589273214,11.4
429,0.810209394,0.7255072,0.5728634,0.540161967,7.94
430,0.783466637,0.703762174,0.549609005,0.517388463,0
431,0.85398674,0.757044494,0.640652359,0.596766949,0
432,0.858838916,0.756107152,0.68954134,0.625207901,10.09
433,0.797965467,0.730643213,0.567829251,0.538338065,0
434,0.83188653,0.75726527,0.615551054,0.569283545,8.37
435,0.840764344,0.747506857,0.645433724,0.597248912,6.38
436,0.756352663,0.682650566,0.50544107,0.49481532,0
437,0.81925112,0.737670302,0.608629584,0.572448075,6.03
438,0.826206446,0.73083061,0.590708017,0.553330064,13.42
439,0.819046438,0.72277236,0.607234418,0.568812728,6.46
440,0.816612363,0.724290371,0.602506638,0.565958858,9.94
441,0.829612672,0.737842739,0.626118064,0.582449019,7.18
442,0.860467613,0.756765008,0.698760092,0.637072384,14.02
443,0.871571958,0.772635758,0.712043107,0.650512993,11.3
444,0.847852528,0.749231637,0.650060892,0.603811085,8.83
445,0.789497435,0.728876829,0.532985985,0.491402686,0
446,0.845096171,0.750257373,0.647010982,0.599872291,15.48
447,0.851166129,0.745299816,0.666008472,0.61470145,17.6
448,0.847536623,0.754134297,0.656459033,0.604414821,11.37
449,0.848284304,0.745975196,0.677050769,0.616975725,13.09
450,0.846807301,0.737294316,0.655300379,0.599366248,10.82
451,0.853894472,0.750726461,0.664704442,0.611979127,12.99
452,0.85225451,0.746725619,0.65141046,0.602038622,10.9
453,0.846681952,0.737373829,0.642019451,0.594924092,0
454,0.858057141,0.752726436,0.654564083,0.606597424,0
455,0.827707827,0.758389413,0.625825763,0.583822489,0
456,0.707736254,0.665126264,0.438848019,0.439385861,0
457,0.846458256,0.751911104,0.66269809,0.607429564,10.28
458,0.854069352,0.755618989,0.671659768,0.618232548,5.72
459,0.735057652,0.712165058,0.491830736,0.486974061,15.13
460,0.836868703,0.736020446,0.617408156,0.57718426,13.13
461,0.861030996,0.773676455,0.695960939,0.629940391,8.61
462,0.868857265,0.77108711,0.716982365,0.647619665,0
463,0.833190143,0.747670949,0.624429166,0.585621476,5.63
464,0.840944469,0.756725967,0.654887736,0.594126046,10.63
465,0.833618164,0.74341023,0.645144701,0.604248166,0
466,0.829660475,0.739101887,0.62720561,0.588734567,0
467,0.838498056,0.732119381,0.619783998,0.581344485,10.85
